Harmony Roman Numeral,count
I,23962
IV,13128
V,9663
i,5247
vi,3916
bVII,3598
ii,1629
bVI,1559
bIII,952
V7,913
iii,795
iv,716
v,639
IV6,630
ii7,621
Id7,611
vi7,501
V6,433
IV64,423
I64,419
IVd7,407
I6,386
V11,280
II,276
V/V,201
End,193
Vs4,156
I7,155
vi64,153
v7,146
V/vi,131
IV9,126
iih43,125
Id9,117
V/ii,113
ii65,113
V7/V,108
V7/vi,93
iio,89
bVII6,86
bII,81
iii64,79
iv7,66
III,63
V+11,60
i6,58
i9,55
iii7,49
v64,46
V6/vi,45
IV65,45
iii6,45
bVI7,44
V7/ii,44
V64,43
iv64,42
VId9,38
iv65,35
ii9,35
i7,33
v65,31
vii,30
bVI6,30
iih65,28
vi9,27
V7/iii,27
V6/V,26
viix7/V,26
vi6,26
IV7,24
VI,24
IVd43,24
V7/IV,24
bVId7,21
viix42,19
V7s4,18
bIII6,18
bV,18
bVb5,17
i42,17
#IV,17
V43,16
viih7/V,16
V42/IV,16
V42,16
V9,15
biii,15
ii7/vi,15
bVII64,14
iih65/ii,14
V65/vi,14
vih7,14
vii64,13
viih7,13
ii/IV,12
Vs4/vi,12
IV/IV,12
bVIb5,12
V6/ii,12
bvii7,12
bIII64,10
viio/ii,9
II7,9
viix7/vi,9
VI7,8
V65,8
bVIId7,8
v6,8
ii/V,8
viix43/V,7
V7/bIII,7
bVId7/V,7
V/iii,7
bVIs4,6
viix42/V,6
III64,6
V7/II,5
ii11,5
i64,4
VII,4
v7s4,4
ii64,4
bVId7/ii,3
V/III,3
IId7,3
II6,3
viix43,2
V/bIII,2
viio/V,2
bIII+9,2
vi/bVII,1
iih7,1
iis4,1
bIIId7,1
viio6,1
bIId7,1
bVII9,1
bVII/bVII,1
V/VII,1
